seb,1,M,S,V,2,PT
seb,2,F,S,V,2,PT
seb,3,F,S,T,3,PT
seb,4,F,S,T,2,PT
seb,5,M,S,V,2,PT
seb,6,F,S,T,2,PT
seb,7,F,S,T,2,ES
seb,8,F,S,V,1,PT
seb,9,F,S,V,3,PT
seb,10,F,S,V,3,PT
seb,11,F,S,V,3,PT
seb,12,F,S,T,3,PT
seb,13,F,S,T,2,PT
seb,14,F,J,V,3,PT
seb,15,F,J,V,3,PT
seb,16,F,S,V,3,PT
seb,17,F,S,T,2,ES
seb,18,F,J,V,3,PT
seb,19,F,J,T,3,PT
seb,20,M,J,T,3,PT
seb,21,M,J,V,3,PT
seb,22,M,J,T,3,PT
seb,23,F,J,V,3,BR
seb,24,M,J,T,2,PT
seb,25,F,J,V,2,PT
seb,26,F,J,T,2,ES
seb,27,M,J,T,3,PT
seb,28,M,S,V,3,PT
seb,29,M,J,T,3,PT
seb,30,F,J,T,3,PT
jfmp,1,F,S,V,1,PT
jfmp,2,F,S,T,2,PT
jfmp,3,F,S,T,2,PT
jfmp,8,M,S,T,2,PT
jfmp,9,M,S,V,3,PT
jfmp,10,M,S,V,2,PT
jfmp,11,M,S,T,3,PT
jfmp,12,F,S,V,3,PT
jfmp,13,F,S,V,1,PT
jfmp,14,M,S,V,2,PT
jfmp,15,M,S,V,3,PT
jfmp,16,F,S,T,2,PT
jfmp,17,F,S,T,3,PT
jfmp,18,F,S,V,2,PT
jfmp,19,M,S,T,3,PT
jfmp,20,F,S,T,1,PT
jfmp,21,F,J,V,2,PT
jfmp,22,F,J,T,3,PT
jfmp,23,M,J,V,2,PT
